Replication,plot,Treatment,blue,green,red,redge,nir,Thermal,L,C1,C2,DAS,MGVRI,SR,NDVI,MSAVI,SAVI,OSAVI,ARVI,EVI,GCI,SIPI,CI(rededge),NDRE,CVI,gNDVI,bNDVI,PI,VARI,ENDVI,GDVI,PSRI,MSRGR,TNDGR,MSR,MCARI,TCARI,MTCI,TCARI/OSAVI,MCARI/OSAVI,RVI,DVI,ARI,ARI2,SRPI,NPCI,VDVI,WDRVI,TVI,RDVI,NDWI
1,1,I,0.084448807,0.127766088,0.134016216,0.200036496,0.269286245,,1,6,7.5,05-Feb,-0.048,2.009,0.335,0.202,0.145,0.279,0.138,0.235,1.108,1.366,0.346,0.148,2.211,0.356,0.523,0.166,-0.035,0.403,0.603,0.023,0.976,0.69,0.582,0.077,0.231,1.049,0.829,0.276,2.009,0.135,2.828,0.761,0.63,0.227,0.078,-0.427,7.866,0.213,0.356426962
1,2,D4,0.08130388,0.121963724,0.131828636,0.187381551,0.24653247,,1,6,7.5,05-Feb,-0.078,1.87,0.303,0.174,0.125,0.247,0.109,0.201,1.021,1.44,0.316,0.136,2.185,0.338,0.504,0.166,-0.057,0.388,0.555,0.04,0.962,0.679,0.514,0.06,0.181,1.065,0.733,0.244,1.87,0.115,2.862,0.706,0.617,0.237,0.067,-0.456,6.488,0.186,0.338046221
1,3,D0,0.080050275,0.120385364,0.130641267,0.184528187,0.244138062,,1,6,7.5,05-Feb,-0.082,1.869,0.303,0.173,0.124,0.246,0.107,0.199,1.028,1.446,0.323,0.139,2.201,0.339,0.506,0.167,-0.06,0.39,0.555,0.042,0.96,0.678,0.513,0.058,0.174,1.106,0.707,0.236,1.869,0.113,2.887,0.705,0.613,0.24,0.067,-0.456,6.4,0.185,0.339491756
1,4,D10,0.080010548,0.121710375,0.130457804,0.184994102,0.245399714,,1,6,7.5,05-Feb,-0.069,1.881,0.306,0.175,0.125,0.249,0.11,0.201,1.016,1.439,0.327,0.14,2.161,0.337,0.508,0.171,-0.051,0.393,0.559,0.036,0.966,0.682,0.519,0.059,0.178,1.108,0.716,0.239,1.881,0.115,2.811,0.69,0.613,0.24,0.073,-0.453,6.547,0.187,0.336927104
2,5,I,0.095542468,0.142565131,0.150843084,0.216081947,0.284934431,,1,6,7.5,05-Feb,-0.056,1.889,0.308,0.195,0.14,0.261,0.116,0.228,0.999,1.412,0.319,0.137,2.115,0.333,0.498,0.165,-0.042,0.382,0.562,0.029,0.972,0.687,0.523,0.072,0.217,1.055,0.832,0.277,1.889,0.134,2.386,0.68,0.633,0.224,0.073,-0.452,7.714,0.203,0.333027944
2,6,D10,0.096606046,0.1437608,0.152203321,0.215512276,0.284383118,,1,6,7.5,05-Feb,-0.057,1.868,0.303,0.192,0.138,0.257,0.112,0.224,0.978,1.421,0.32,0.138,2.094,0.328,0.493,0.164,-0.042,0.378,0.555,0.03,0.972,0.687,0.513,0.069,0.208,1.088,0.809,0.27,1.868,0.132,2.316,0.659,0.635,0.223,0.072,-0.456,7.593,0.2,0.328446375
2,7,D0,0.092977315,0.137607098,0.146537244,0.20214124,0.264555782,,1,6,7.5,05-Feb,-0.063,1.805,0.287,0.174,0.125,0.24,0.099,0.204,0.923,1.454,0.309,0.134,2.047,0.316,0.48,0.164,-0.047,0.368,0.53,0.034,0.969,0.685,0.481,0.059,0.177,1.122,0.737,0.246,1.805,0.118,2.32,0.614,0.634,0.224,0.069,-0.469,6.724,0.184,0.315664847
2,8,D4,0.0899591,0.13432081,0.143282995,0.197849989,0.261627674,,1,6,7.5,05-Feb,-0.065,1.826,0.292,0.176,0.126,0.243,0.102,0.205,0.948,1.451,0.322,0.139,2.078,0.322,0.488,0.167,-0.048,0.375,0.539,0.034,0.968,0.684,0.491,0.058,0.173,1.169,0.714,0.238,1.826,0.118,2.391,0.625,0.628,0.229,0.071,-0.465,6.742,0.186,0.321523807
3,9,I,0.092913881,0.13989161,0.14666228,0.214554876,0.282108307,,1,6,7.5,05-Feb,-0.047,1.924,0.316,0.198,0.142,0.267,0.122,0.231,1.017,1.397,0.315,0.136,2.114,0.337,0.504,0.167,-0.035,0.389,0.574,0.024,0.977,0.69,0.54,0.077,0.232,0.995,0.871,0.29,1.924,0.135,2.488,0.702,0.634,0.224,0.077,-0.444,7.856,0.207,0.337006457
3,10,D4,0.093028791,0.139549315,0.147749603,0.212142736,0.277836204,,1,6,7.5,05-Feb,-0.057,1.88,0.306,0.191,0.137,0.258,0.113,0.222,0.991,1.421,0.31,0.134,2.108,0.331,0.498,0.167,-0.042,0.383,0.559,0.03,0.972,0.687,0.519,0.072,0.215,1.02,0.834,0.278,1.88,0.13,2.452,0.681,0.63,0.227,0.074,-0.453,7.477,0.199,0.331316931
3,11,D10,0.089416191,0.135839611,0.143570945,0.209273517,0.277079552,,1,6,7.5,05-Feb,-0.055,1.93,0.317,0.197,0.141,0.267,0.121,0.227,1.04,1.406,0.324,0.139,2.156,0.342,0.512,0.17,-0.041,0.396,0.577,0.028,0.973,0.687,0.543,0.074,0.223,1.032,0.836,0.279,1.93,0.134,2.583,0.716,0.623,0.232,0.077,-0.443,7.701,0.206,0.34205228
3,12,D0,0.093861148,0.141308621,0.151261181,0.214672878,0.276458949,,1,6,7.5,05-Feb,-0.068,1.828,0.293,0.183,0.132,0.247,0.101,0.211,0.956,1.458,0.288,0.126,2.094,0.324,0.493,0.17,-0.05,0.38,0.539,0.036,0.967,0.683,0.492,0.069,0.208,0.974,0.84,0.28,1.828,0.125,2.418,0.669,0.621,0.234,0.071,-0.465,7.114,0.191,0.32350603
4,13,I,0.100085191,0.151595727,0.157645494,0.235637203,0.307288706,,1,6,7.5,05-Feb,-0.039,1.949,0.322,0.214,0.153,0.278,0.127,0.249,1.027,1.385,0.304,0.132,2.108,0.339,0.509,0.169,-0.029,0.393,0.583,0.02,0.981,0.693,0.553,0.091,0.274,0.919,0.988,0.329,1.949,0.15,2.353,0.723,0.635,0.223,0.081,-0.439,8.737,0.219,0.339285815
4,14,D0,0.087179065,0.13607505,0.142375469,0.216190144,0.281479836,,1,6,7.5,05-Feb,-0.045,1.977,0.328,0.205,0.147,0.276,0.128,0.235,1.069,1.397,0.302,0.131,2.164,0.348,0.527,0.179,-0.033,0.411,0.593,0.022,0.978,0.691,0.566,0.088,0.263,0.885,0.953,0.318,1.977,0.139,2.723,0.767,0.612,0.24,0.085,-0.433,8.094,0.214,0.348229157
4,15,D4,0.091365695,0.142602056,0.148533106,0.222582996,0.286221772,,1,6,7.5,05-Feb,-0.041,1.927,0.317,0.201,0.144,0.269,0.119,0.231,1.007,1.415,0.286,0.125,2.091,0.335,0.516,0.181,-0.03,0.402,0.576,0.021,0.98,0.693,0.542,0.087,0.261,0.859,0.972,0.324,1.927,0.138,2.52,0.721,0.615,0.238,0.086,-0.444,8.024,0.209,0.334915428
4,16,D10,0.090896204,0.138999835,0.149980485,0.215782508,0.277271688,,1,6,7.5,05-Feb,-0.076,1.849,0.298,0.186,0.134,0.251,0.102,0.213,0.995,1.464,0.285,0.125,2.152,0.332,0.506,0.174,-0.055,0.392,0.547,0.04,0.963,0.68,0.503,0.073,0.218,0.934,0.866,0.289,1.849,0.127,2.56,0.71,0.606,0.245,0.072,-0.46,7.198,0.195,0.332167456
1,1,I,0.037805267,0.069621973,0.0500236,0.134938434,0.233954117,,1,6,7.5,24-Feb,0.319,4.677,0.648,0.321,0.215,0.481,0.462,0.368,2.36,1.066,0.734,0.268,2.414,0.541,0.722,0.18,0.239,0.601,0.913,-0.084,1.18,0.815,1.543,0.194,0.581,1.166,1.21,0.403,4.677,0.184,6.952,1.627,0.756,0.139,0.226,-0.033,11.82,0.345,0.541321103
1,2,D4,0.039422147,0.07118164,0.05294247,0.135202691,0.230782539,,1,6,7.5,24-Feb,0.288,4.359,0.627,0.308,0.208,0.465,0.437,0.355,2.242,1.076,0.707,0.261,2.411,0.529,0.708,0.18,0.215,0.586,0.9,-0.079,1.16,0.804,1.451,0.177,0.532,1.162,1.145,0.382,4.359,0.178,6.652,1.535,0.745,0.146,0.213,-0.068,11.4,0.334,0.52854249
1,3,D0,0.040008273,0.071025938,0.054383919,0.135127977,0.230140001,,1,6,7.5,24-Feb,0.261,4.232,0.618,0.304,0.205,0.459,0.426,0.35,2.24,1.082,0.703,0.26,2.481,0.528,0.704,0.175,0.195,0.58,0.894,-0.072,1.143,0.795,1.413,0.169,0.506,1.177,1.104,0.368,4.232,0.176,6.679,1.537,0.736,0.152,0.202,-0.083,11.211,0.329,0.528326887
1,4,D10,0.039395854,0.069368266,0.05373808,0.131467506,0.224083915,,1,6,7.5,24-Feb,0.25,4.17,0.613,0.296,0.2,0.451,0.421,0.34,2.23,1.084,0.704,0.26,2.502,0.527,0.701,0.174,0.187,0.577,0.891,-0.07,1.136,0.792,1.394,0.16,0.479,1.192,1.062,0.354,4.17,0.17,6.809,1.526,0.733,0.154,0.197,-0.091,10.846,0.323,0.5272261
2,5,I,0.03955479,0.072811708,0.053004447,0.135919675,0.223912746,,1,6,7.5,24-Feb,0.307,4.224,0.617,0.297,0.201,0.454,0.426,0.343,2.075,1.079,0.647,0.245,2.239,0.509,0.7,0.191,0.23,0.579,0.894,-0.088,1.172,0.811,1.411,0.18,0.541,1.061,1.192,0.397,4.224,0.171,6.377,1.428,0.746,0.145,0.223,-0.084,11.047,0.325,0.509230149
2,6,D10,0.039277356,0.072216578,0.05200744,0.136848465,0.227876872,,1,6,7.5,24-Feb,0.317,4.382,0.628,0.306,0.206,0.464,0.44,0.353,2.155,1.072,0.665,0.25,2.272,0.519,0.706,0.187,0.238,0.585,0.901,-0.089,1.178,0.814,1.458,0.189,0.568,1.073,1.224,0.408,4.382,0.176,6.54,1.49,0.755,0.139,0.225,-0.066,11.361,0.332,0.51870607
2,7,D0,0.03990278,0.071379185,0.054611251,0.132980436,0.218668759,,1,6,7.5,24-Feb,0.262,4.004,0.6,0.285,0.193,0.439,0.406,0.329,2.063,1.09,0.644,0.244,2.344,0.508,0.691,0.184,0.195,0.568,0.883,-0.077,1.143,0.796,1.343,0.161,0.482,1.093,1.099,0.366,4.004,0.164,6.49,1.419,0.731,0.156,0.203,-0.111,10.514,0.314,0.507811129
2,8,D4,0.039303448,0.069879599,0.053172842,0.131809801,0.222677618,,1,6,7.5,24-Feb,0.267,4.188,0.614,0.295,0.199,0.451,0.423,0.34,2.187,1.082,0.689,0.256,2.425,0.522,0.7,0.178,0.199,0.576,0.892,-0.075,1.146,0.797,1.4,0.164,0.493,1.156,1.092,0.364,4.188,0.17,6.724,1.497,0.739,0.15,0.204,-0.088,10.839,0.323,0.522284224
3,9,I,0.040738948,0.07635206,0.053659894,0.150593758,0.257826239,,1,6,7.5,24-Feb,0.339,4.805,0.655,0.35,0.234,0.502,0.471,0.401,2.377,1.063,0.712,0.263,2.373,0.543,0.727,0.184,0.254,0.608,0.917,-0.088,1.193,0.821,1.579,0.23,0.691,1.106,1.376,0.459,4.805,0.204,6.457,1.665,0.759,0.137,0.236,-0.02,13.158,0.366,0.543045971
3,10,D4,0.039907731,0.075681716,0.05314064,0.149212942,0.251710266,,1,6,7.5,24-Feb,0.34,4.737,0.651,0.342,0.228,0.496,0.466,0.391,2.326,1.067,0.687,0.256,2.335,0.538,0.726,0.189,0.254,0.608,0.915,-0.09,1.193,0.822,1.56,0.228,0.685,1.067,1.383,0.461,4.737,0.199,6.511,1.639,0.751,0.142,0.239,-0.027,12.816,0.36,0.537669093
3,11,D10,0.038279615,0.074373305,0.049729578,0.150065988,0.264191747,,1,6,7.5,24-Feb,0.382,5.313,0.683,0.37,0.245,0.525,0.505,0.42,2.552,1.053,0.761,0.275,2.375,0.561,0.747,0.186,0.287,0.631,0.932,-0.093,1.223,0.836,1.716,0.257,0.771,1.137,1.469,0.49,5.313,0.214,6.782,1.792,0.77,0.13,0.257,0.03,13.853,0.383,0.560655747
3,12,D0,0.039533421,0.072424322,0.053353716,0.142773658,0.245174661,,1,6,7.5,24-Feb,0.296,4.595,0.643,0.331,0.222,0.485,0.455,0.378,2.385,1.072,0.717,0.264,2.494,0.544,0.722,0.178,0.221,0.601,0.91,-0.078,1.165,0.807,1.52,0.202,0.605,1.145,1.247,0.416,4.595,0.192,6.803,1.668,0.741,0.149,0.219,-0.042,12.272,0.351,0.543925983
4,13,I,0.039606377,0.074875347,0.051919121,0.150991946,0.267014354,,1,6,7.5,24-Feb,0.351,5.143,0.674,0.369,0.245,0.521,0.494,0.42,2.566,1.057,0.768,0.278,2.473,0.562,0.742,0.18,0.263,0.624,0.927,-0.086,1.201,0.825,1.672,0.244,0.732,1.171,1.404,0.468,5.143,0.215,6.733,1.798,0.763,0.135,0.241,0.014,13.824,0.381,0.561991211
4,14,D0,0.038476881,0.07416781,0.050530758,0.151736915,0.264299542,,1,6,7.5,24-Feb,0.366,5.23,0.679,0.369,0.244,0.522,0.499,0.418,2.564,1.056,0.742,0.271,2.428,0.562,0.746,0.184,0.274,0.63,0.929,-0.089,1.212,0.83,1.695,0.257,0.772,1.112,1.478,0.493,5.23,0.214,6.893,1.822,0.761,0.135,0.25,0.023,13.772,0.381,0.561743196
4,15,D4,0.038608115,0.072952345,0.052666005,0.145839527,0.2478953,,1,6,7.5,24-Feb,0.315,4.707,0.65,0.337,0.225,0.492,0.462,0.383,2.398,1.072,0.7,0.259,2.453,0.545,0.73,0.185,0.233,0.612,0.914,-0.082,1.177,0.813,1.552,0.218,0.653,1.095,1.328,0.443,4.707,0.195,6.851,1.698,0.733,0.154,0.23,-0.03,12.525,0.356,0.54525242
4,16,D10,0.039097719,0.073297411,0.054136243,0.147701442,0.254149973,,1,6,7.5,24-Feb,0.294,4.695,0.649,0.343,0.229,0.495,0.461,0.389,2.467,1.075,0.721,0.265,2.561,0.552,0.733,0.181,0.217,0.614,0.913,-0.075,1.164,0.806,1.548,0.215,0.644,1.138,1.3,0.433,4.695,0.2,6.873,1.747,0.722,0.161,0.222,-0.031,12.767,0.36,0.552310297
1,1,I,0.036671672,0.079223163,0.045779161,0.166480377,0.298885882,,1,6,7.5,27-Feb,0.499,6.529,0.734,0.436,0.282,0.582,0.571,0.487,2.773,1.036,0.795,0.285,2.18,0.581,0.781,0.2,0.379,0.675,0.954,-0.112,1.316,0.876,2.015,0.375,1.126,1.097,1.936,0.645,6.529,0.253,6.616,1.977,0.801,0.11,0.315,0.133,16.524,0.431,0.580950712
1,2,D4,0.037600677,0.080306396,0.047505915,0.165464237,0.297357351,,1,6,7.5,27-Feb,0.482,6.259,0.724,0.428,0.279,0.574,0.558,0.48,2.703,1.04,0.797,0.285,2.19,0.575,0.775,0.201,0.364,0.668,0.95,-0.11,1.3,0.87,1.952,0.352,1.055,1.118,1.837,0.612,6.259,0.25,6.409,1.906,0.791,0.116,0.307,0.112,16.303,0.425,0.574720123
1,3,D0,0.038607389,0.081185855,0.049803194,0.166305766,0.296254992,,1,6,7.5,27-Feb,0.453,5.949,0.712,0.421,0.275,0.565,0.541,0.472,2.649,1.045,0.781,0.281,2.239,0.57,0.769,0.2,0.34,0.66,0.945,-0.106,1.277,0.86,1.877,0.332,0.997,1.115,1.764,0.588,5.949,0.246,6.304,1.868,0.775,0.127,0.295,0.087,16.042,0.419,0.569808855
1,4,D10,0.039010249,0.081470534,0.050592422,0.169605479,0.309547216,,1,6,7.5,27-Feb,0.443,6.118,0.719,0.439,0.286,0.578,0.55,0.49,2.799,1.045,0.825,0.292,2.359,0.583,0.776,0.193,0.332,0.667,0.948,-0.1,1.269,0.857,1.918,0.34,1.02,1.176,1.766,0.589,6.118,0.259,6.378,1.974,0.771,0.129,0.29,0.101,16.772,0.432,0.583289843
2,5,I,0.039599989,0.085336871,0.050308626,0.172476158,0.297498107,,1,6,7.5,27-Feb,0.484,5.913,0.711,0.421,0.275,0.565,0.54,0.475,2.486,1.043,0.725,0.266,2.055,0.554,0.765,0.211,0.365,0.657,0.944,-0.118,1.302,0.871,1.869,0.359,1.077,1.023,1.908,0.636,5.913,0.247,5.92,1.761,0.787,0.119,0.31,0.084,16.232,0.419,0.554184566
2,6,D10,0.0382853,0.082637727,0.047382277,0.167315111,0.294241488,,1,6,7.5,27-Feb,0.505,6.21,0.723,0.424,0.276,0.571,0.556,0.478,2.561,1.037,0.759,0.275,2.042,0.561,0.77,0.208,0.384,0.662,0.949,-0.12,1.321,0.878,1.94,0.364,1.091,1.058,1.911,0.637,6.21,0.247,6.124,1.802,0.808,0.106,0.317,0.108,16.222,0.422,0.56146307
2,7,D0,0.039147433,0.082850419,0.049906768,0.168858543,0.302886963,,1,6,7.5,27-Feb,0.468,6.069,0.717,0.431,0.281,0.572,0.548,0.483,2.656,1.043,0.794,0.284,2.202,0.57,0.771,0.201,0.352,0.663,0.947,-0.109,1.288,0.865,1.907,0.344,1.033,1.127,1.805,0.602,6.069,0.253,6.148,1.862,0.784,0.121,0.301,0.097,16.497,0.426,0.570430957
2,8,D4,0.038521923,0.082107171,0.049512163,0.167869285,0.309958369,,1,6,7.5,27-Feb,0.467,6.26,0.725,0.442,0.287,0.582,0.557,0.494,2.775,1.042,0.846,0.297,2.276,0.581,0.779,0.198,0.35,0.672,0.95,-0.105,1.288,0.865,1.952,0.343,1.029,1.201,1.77,0.59,6.26,0.26,6.222,1.929,0.778,0.125,0.302,0.112,16.931,0.434,0.58115589
3,9,I,0.042299416,0.091842398,0.054738384,0.191715017,0.347796649,,1,6,7.5,27-Feb,0.476,6.354,0.728,0.484,0.313,0.604,0.562,0.539,2.787,1.042,0.814,0.289,2.257,0.582,0.783,0.201,0.356,0.677,0.952,-0.107,1.295,0.868,1.974,0.41,1.229,1.139,2.034,0.678,6.354,0.293,5.672,1.973,0.773,0.128,0.309,0.119,19.068,0.462,0.582191807
3,10,D4,0.040965214,0.089752749,0.052752927,0.18872489,0.337428331,,1,6,7.5,27-Feb,0.486,6.396,0.73,0.474,0.307,0.6,0.564,0.528,2.76,1.041,0.788,0.283,2.21,0.58,0.783,0.204,0.364,0.678,0.952,-0.11,1.304,0.872,1.984,0.416,1.247,1.094,2.077,0.692,6.396,0.285,5.843,1.972,0.777,0.126,0.314,0.123,18.561,0.456,0.579790617
3,11,D10,0.039702199,0.088569894,0.050015166,0.190640077,0.356665075,,1,6,7.5,27-Feb,0.516,7.131,0.754,0.509,0.327,0.628,0.597,0.564,3.027,1.034,0.871,0.303,2.274,0.602,0.8,0.198,0.39,0.697,0.961,-0.108,1.331,0.882,2.15,0.458,1.375,1.181,2.19,0.73,7.131,0.307,6.045,2.156,0.794,0.115,0.328,0.176,19.941,0.481,0.602143137
3,12,D0,0.040037513,0.085420541,0.052768204,0.177337572,0.319706559,,1,6,7.5,27-Feb,0.448,6.059,0.717,0.448,0.292,0.582,0.546,0.499,2.743,1.048,0.803,0.286,2.312,0.578,0.777,0.199,0.333,0.67,0.947,-0.102,1.272,0.858,1.904,0.357,1.071,1.143,1.841,0.614,6.059,0.267,6.068,1.94,0.759,0.137,0.296,0.096,17.322,0.437,0.578302508
4,13,I,0.041227479,0.089993671,0.053109579,0.191119611,0.358226329,,1,6,7.5,27-Feb,0.483,6.745,0.742,0.503,0.324,0.619,0.58,0.558,2.981,1.039,0.874,0.304,2.349,0.598,0.794,0.195,0.362,0.689,0.957,-0.103,1.302,0.87,2.064,0.424,1.272,1.211,2.053,0.684,6.745,0.305,5.88,2.106,0.776,0.126,0.312,0.149,19.782,0.476,0.598439735
4,14,D0,0.038281523,0.085225597,0.048064999,0.183436528,0.33342424,,1,6,7.5,27-Feb,0.517,6.937,0.748,0.481,0.31,0.611,0.589,0.534,2.912,1.034,0.818,0.29,2.206,0.593,0.794,0.201,0.391,0.691,0.959,-0.111,1.332,0.882,2.107,0.442,1.325,1.108,2.168,0.723,6.937,0.285,6.282,2.095,0.796,0.113,0.328,0.162,18.608,0.462,0.592854985
4,15,D4,0.040306337,0.087550648,0.054193422,0.181248277,0.318563163,,1,6,7.5,27-Feb,0.446,5.878,0.709,0.443,0.289,0.576,0.536,0.493,2.639,1.053,0.758,0.275,2.252,0.569,0.775,0.207,0.329,0.669,0.944,-0.105,1.271,0.858,1.86,0.362,1.087,1.081,1.888,0.629,5.878,0.264,5.905,1.881,0.744,0.147,0.299,0.081,17.196,0.433,0.568836884
4,16,D10,0.041072577,0.087650515,0.0578002,0.183871254,0.327352554,,1,6,7.5,27-Feb,0.394,5.664,0.7,0.446,0.292,0.574,0.522,0.493,2.735,1.062,0.78,0.281,2.463,0.578,0.777,0.199,0.286,0.67,0.94,-0.091,1.231,0.84,1.807,0.34,1.019,1.138,1.777,0.592,5.664,0.27,5.97,1.954,0.711,0.169,0.279,0.062,17.367,0.434,0.577591003
1,1,I,0.036821872,0.072332405,0.053585697,0.143878087,0.263435692,32.02149094,1,6,7.5,05-Mar,0.291,4.916,0.662,0.36,0.239,0.51,0.474,0.401,2.642,1.08,0.831,0.294,2.698,0.569,0.755,0.186,0.21,0.64,0.921,-0.071,1.162,0.806,1.61,0.204,0.612,1.324,1.199,0.4,4.916,0.21,6.875,1.811,0.687,0.185,0.231,-0.008,13.341,0.373,0.569152605
1,2,D4,0.050837476,0.090666905,0.073662914,0.167388573,0.294405431,37.52845764,1,6,7.5,05-Mar,0.205,3.997,0.6,0.359,0.242,0.485,0.402,0.407,2.247,1.103,0.759,0.275,2.638,0.529,0.705,0.176,0.15,0.582,0.882,-0.058,1.109,0.777,1.341,0.178,0.534,1.355,1.102,0.367,3.997,0.221,5.055,1.488,0.69,0.183,0.186,-0.112,13.925,0.364,0.529091568
1,3,D0,0.05384282,0.093730703,0.079310022,0.168343693,0.286009014,38.45661163,1,6,7.5,05-Mar,0.166,3.606,0.566,0.334,0.227,0.456,0.364,0.381,2.051,1.123,0.699,0.259,2.582,0.506,0.683,0.177,0.121,0.558,0.857,-0.05,1.087,0.764,1.214,0.157,0.472,1.322,1.034,0.345,3.606,0.207,4.729,1.352,0.679,0.191,0.169,-0.162,12.979,0.342,0.506342377
1,4,D10,0.053195897,0.093215339,0.078804292,0.168924615,0.288287133,37.14610291,1,6,7.5,05-Mar,0.166,3.658,0.571,0.338,0.23,0.461,0.368,0.384,2.093,1.122,0.707,0.261,2.615,0.511,0.688,0.177,0.121,0.564,0.861,-0.05,1.088,0.764,1.232,0.161,0.482,1.324,1.046,0.349,3.658,0.209,4.808,1.386,0.675,0.194,0.171,-0.155,13.145,0.346,0.511325111
2,5,I,0.039359037,0.077531256,0.058568344,0.149368271,0.263043284,32.67645391,1,6,7.5,05-Mar,0.273,4.491,0.636,0.347,0.232,0.492,0.442,0.387,2.393,1.094,0.761,0.276,2.563,0.545,0.74,0.195,0.196,0.625,0.906,-0.072,1.151,0.8,1.49,0.195,0.585,1.252,1.187,0.396,4.491,0.204,6.203,1.632,0.672,0.196,0.226,-0.054,13.027,0.361,0.54470316
2,6,D10,0.050457064,0.090388104,0.07297834,0.165888935,0.297949284,38.9832325,1,6,7.5,05-Mar,0.211,4.083,0.607,0.366,0.246,0.492,0.41,0.414,2.296,1.1,0.796,0.285,2.661,0.534,0.71,0.176,0.154,0.587,0.887,-0.058,1.113,0.779,1.367,0.177,0.531,1.421,1.08,0.36,4.083,0.225,5.035,1.5,0.691,0.182,0.188,-0.101,14.195,0.369,0.534486728
2,7,D0,0.054910664,0.095086649,0.081472851,0.167236164,0.284030944,40.07123184,1,6,7.5,05-Mar,0.153,3.486,0.554,0.326,0.223,0.447,0.351,0.372,1.987,1.131,0.698,0.259,2.559,0.498,0.676,0.178,0.112,0.551,0.848,-0.048,1.08,0.76,1.174,0.146,0.439,1.362,0.982,0.327,3.486,0.203,4.537,1.289,0.674,0.195,0.165,-0.178,12.698,0.335,0.498379127
2,8,D4,0.054155398,0.095672555,0.080272399,0.170796111,0.291543782,38.35936864,1,6,7.5,05-Mar,0.174,3.632,0.568,0.34,0.231,0.461,0.366,0.386,2.047,1.124,0.707,0.261,2.557,0.506,0.687,0.181,0.126,0.563,0.859,-0.053,1.092,0.767,1.223,0.161,0.482,1.334,1.046,0.349,3.632,0.211,4.597,1.34,0.675,0.194,0.175,-0.158,13.292,0.346,0.505844429
3,9,I,0.039398484,0.081981905,0.058694869,0.16703169,0.297164738,32.47937322,1,6,7.5,05-Mar,0.322,5.063,0.67,0.399,0.264,0.536,0.483,0.44,2.625,1.081,0.779,0.28,2.595,0.568,0.766,0.198,0.23,0.656,0.925,-0.078,1.182,0.816,1.65,0.26,0.78,1.201,1.454,0.485,5.063,0.238,6.211,1.846,0.671,0.197,0.251,0.006,15.24,0.4,0.567545136
3,10,D4,0.049364377,0.096579008,0.07197915,0.186303034,0.322042018,37.88520432,1,6,7.5,05-Mar,0.286,4.474,0.635,0.403,0.269,0.524,0.441,0.452,2.334,1.09,0.729,0.267,2.485,0.539,0.734,0.196,0.206,0.618,0.905,-0.076,1.158,0.804,1.485,0.249,0.748,1.187,1.429,0.476,4.474,0.25,4.987,1.606,0.686,0.186,0.228,-0.056,15.988,0.398,0.538585011
3,11,D10,0.047965229,0.096051931,0.068718791,0.189762905,0.335852265,38.48889542,1,6,7.5,05-Mar,0.323,4.887,0.66,0.43,0.285,0.549,0.473,0.481,2.497,1.078,0.77,0.278,2.502,0.555,0.75,0.195,0.234,0.637,0.92,-0.081,1.182,0.816,1.602,0.283,0.848,1.207,1.544,0.515,4.887,0.267,5.141,1.727,0.698,0.178,0.244,-0.011,17.121,0.42,0.555216495
3,12,D0,0.052203756,0.096632957,0.078525946,0.181478381,0.306753039,37.7846489,1,6,7.5,05-Mar,0.205,3.906,0.592,0.366,0.247,0.486,0.391,0.412,2.174,1.115,0.69,0.257,2.58,0.521,0.709,0.188,0.147,0.589,0.877,-0.059,1.109,0.777,1.312,0.199,0.596,1.217,1.228,0.409,3.906,0.228,4.838,1.484,0.665,0.201,0.193,-0.123,14.418,0.368,0.520890869
